Latitude Longitude
-41.794489 98.558362
-42.329626 99.007834
-42.858122 99.472108
-43.379738 99.951522
-43.894225 100.446412
-44.401329 100.957107
-44.900786 101.483926
-45.392327 102.027179
-45.875673 102.587167
-46.350541 103.164173
-46.816636 103.758467
-47.273662 104.370297
-47.721310 104.999894
-48.159269 105.647461
-48.587221 106.313175
-49.004840 106.997185
-49.411797 107.699604
-49.807758 108.420511
-50.192385 109.159943
-50.565337 109.917897
-50.926269 110.694319
-51.274836 111.489110
-51.610694 112.302115
-51.933496 113.133124
-52.242901 113.981868
-52.538567 114.848016
-52.820161 115.731174
-53.087353 116.630881
-53.339821 117.546610
-53.577253 118.477764
-53.799346 119.423678
-54.005812 120.383619
-54.196373 121.356785
-54.370771 122.342307
-54.528762 123.339254
-54.670121 124.346634
-54.794645 125.363395
-54.902150 126.388435
-54.992477 127.420603
-55.065490 128.458707
-55.121076 129.501519
-55.159152 130.547784
-55.179657 131.596225
-55.182560 132.645551
-55.167854 133.694467
-55.135563 134.741680
-55.085734 135.785907
-55.018442 136.825884
-54.933789 137.860373
-54.831901 138.888167
-54.712928 139.908099
-54.577045 140.919050
-54.424447 141.919949
-54.255351 142.909782
-54.069992 143.887595
-53.868624 144.852495
-53.651517 145.803657
-53.418955 146.740323
-53.171235 147.661802
-52.908664 148.567474
-52.631562 149.456785
-52.340254 150.329251
-52.035073 151.184454
-51.716357 152.022040
-51.384447 152.841717
-51.039687 153.643256
-50.682423 154.426481
-50.312998 155.191273
-49.931758 155.937563
-49.539045 156.665329
-49.135197 157.374594
-48.720550 158.065422
-48.295435 158.737915
-47.860178 159.392209
-47.415100 160.028470
-46.960516 160.646894
-46.496734 161.247701
-46.024055 161.831133
-45.542775 162.397453
-45.053180 162.946940
-44.555552 163.479887
-44.050162 163.996603
-43.537277 164.497402
-43.017154 164.982613
-42.490044 165.452566
-41.956191 165.907601
-41.415828 166.348058
-40.869187 166.774283
-40.316487 167.186621
-39.757942 167.585419
-39.193762 167.971022
-38.624145 168.343774
-38.049287 168.704017
-37.469375 169.052091
-36.884591 169.388332
-36.295109 169.713071
-35.701101 170.026636
-35.102730 170.329350
-34.500154 170.621531
-33.893526 170.903492
-33.282995 171.175541
-32.668704 171.437980
-32.050791 171.691105
-31.429389 171.935206
-30.804629 172.170570
-30.176635 172.397474
-29.545529 172.616192
-28.911426 172.826993
-28.274442 173.030138
-27.634685 173.225883
-26.992261 173.414479
-26.347274 173.596172
-25.699824 173.771202
-25.050006 173.939802
-24.397916 174.102204
-23.743643 174.258632
-23.087276 174.409305
-22.428902 174.554439
-21.768603 174.694243
-21.106460 174.828925
-20.442552 174.958685
-19.776957 175.083721
-19.109748 175.204228
-18.440999 175.320394
-17.770780 175.432405
-17.099161 175.540444
-16.426209 175.644689
-15.751991 175.745317
