accelaration accelaration accelaration
0.219316 -0.211372 -0.308211
0.213622 -0.213051 -0.313194
0.207872 -0.214612 -0.318109
0.202067 -0.216056 -0.322957
0.196211 -0.217381 -0.327735
0.190306 -0.218585 -0.332444
0.184354 -0.219669 -0.337081
0.178359 -0.220631 -0.341646
0.172324 -0.221470 -0.346139
0.166250 -0.222186 -0.350558
0.160142 -0.222779 -0.354902
0.154001 -0.223246 -0.359170
0.147830 -0.223589 -0.363361
0.141633 -0.223807 -0.367476
0.135411 -0.223898 -0.371512
0.129169 -0.223864 -0.375469
0.122908 -0.223703 -0.379346
0.116632 -0.223415 -0.383143
0.110343 -0.223001 -0.386858
0.104044 -0.222459 -0.390491
0.097739 -0.221791 -0.394041
0.091429 -0.220996 -0.397507
0.085118 -0.220074 -0.400889
0.078809 -0.219025 -0.404186
0.072505 -0.217850 -0.407397
0.066207 -0.216548 -0.410522
0.059920 -0.215121 -0.413560
0.053646 -0.213568 -0.416510
0.047388 -0.211891 -0.419372
0.041148 -0.210088 -0.422145
0.034930 -0.208162 -0.424829
0.028736 -0.206113 -0.427423
0.022569 -0.203941 -0.429926
0.016432 -0.201647 -0.432339
0.010327 -0.199232 -0.434660
0.004257 -0.196697 -0.436889
-0.001775 -0.194042 -0.439026
-0.007766 -0.191270 -0.441070
-0.013714 -0.188380 -0.443021
-0.019616 -0.185374 -0.444878
-0.025470 -0.182254 -0.446642
-0.031272 -0.179019 -0.448311
-0.037021 -0.175672 -0.449885
-0.042714 -0.172214 -0.451365
-0.048348 -0.168646 -0.452749
-0.053921 -0.164970 -0.454038
-0.059431 -0.161187 -0.455231
-0.064875 -0.157299 -0.456328
-0.070250 -0.153307 -0.457329
-0.075554 -0.149213 -0.458233
-0.080786 -0.145019 -0.459041
-0.085942 -0.140726 -0.459752
-0.091021 -0.136336 -0.460367
-0.096020 -0.131851 -0.460884
-0.100937 -0.127272 -0.461304
-0.105771 -0.122603 -0.461627
-0.110518 -0.117844 -0.461853
-0.115177 -0.112998 -0.461982
-0.119746 -0.108067 -0.462013
-0.124224 -0.103053 -0.461947
-0.128607 -0.097958 -0.461784
-0.132895 -0.092783 -0.461524
-0.137085 -0.087533 -0.461166
-0.141176 -0.082208 -0.460712
-0.145166 -0.076811 -0.460161
-0.149054 -0.071344 -0.459512
-0.152837 -0.065810 -0.458767
-0.156515 -0.060210 -0.457926
-0.160085 -0.054549 -0.456988
-0.163547 -0.048827 -0.455954
-0.166898 -0.043047 -0.454824
-0.170138 -0.037213 -0.453599
-0.173266 -0.031326 -0.452278
-0.176279 -0.025389 -0.450862
-0.179177 -0.019404 -0.449351
-0.181959 -0.013375 -0.447745
-0.184624 -0.007303 -0.446046
-0.187170 -0.001193 -0.444252
-0.189598 0.004955 -0.442365
-0.191905 0.011137 -0.440385
-0.194091 0.017350 -0.438313
-0.196155 0.023592 -0.436148
-0.198097 0.029859 -0.433891
-0.199916 0.036150 -0.431543
-0.201611 0.042461 -0.429104
-0.203182 0.048789 -0.426575
-0.204628 0.055133 -0.423956
-0.205949 0.061488 -0.421248
-0.207144 0.067852 -0.418451
-0.208214 0.074222 -0.415567
-0.209157 0.080596 -0.412594
-0.209975 0.086971 -0.409535
-0.210666 0.093343 -0.406389
-0.211231 0.099710 -0.403158
-0.211669 0.106070 -0.399842
-0.211982 0.112418 -0.396442
-0.212168 0.118753 -0.392958
-0.212228 0.125072 -0.389391
-0.212163 0.131371 -0.385742
-0.211972 0.137648 -0.382012
-0.211656 0.143901 -0.378201
-0.211216 0.150125 -0.374310
-0.210652 0.156320 -0.370341
-0.209964 0.162481 -0.366293
-0.209153 0.168606 -0.362168
-0.208221 0.174692 -0.357966
-0.207167 0.180737 -0.353689
-0.205992 0.186738 -0.349337
-0.204697 0.192691 -0.344911
-0.203283 0.198596 -0.340412
-0.201752 0.204447 -0.335842
-0.200104 0.210245 -0.331200
-0.198340 0.215984 -0.326488
-0.196461 0.221664 -0.321707
-0.194468 0.227281 -0.316858
-0.192364 0.232832 -0.311942
-0.190149 0.238317 -0.306959
-0.187824 0.243731 -0.301912
-0.185390 0.249072 -0.296800
-0.182851 0.254338 -0.291626
-0.180206 0.259527 -0.286389
-0.177457 0.264637 -0.281092
-0.174606 0.269664 -0.275735
-0.171655 0.274607 -0.270320
-0.168606 0.279463 -0.264846
-0.165459 0.284231 -0.259317
-0.162218 0.288908 -0.253732
-0.158883 0.293491 -0.248093
-0.155457 0.297980 -0.242401
-0.151942 0.302371 -0.236658
-0.148339 0.306664 -0.230864
-0.144651 0.310855 -0.225021
-0.140880 0.314943 -0.219129
-0.137028 0.318926 -0.213191
-0.133096 0.322803 -0.207207
-0.129088 0.326571 -0.201178
-0.125005 0.330229 -0.195106
-0.120850 0.333776 -0.188993
-0.116625 0.337209 -0.182839
-0.112332 0.340527 -0.176645
-0.107974 0.343728 -0.170413
-0.103553 0.346811 -0.164145
-0.099072 0.349776 -0.157841
-0.094532 0.352619 -0.151503
-0.089937 0.355340 -0.145132
-0.085289 0.357938 -0.138730
-0.080591 0.360412 -0.132297
-0.075844 0.362760 -0.125836
-0.071053 0.364982 -0.119347
-0.066218 0.367076 -0.112832
-0.061344 0.369041 -0.106293
-0.056432 0.370876 -0.099729
-0.051485 0.372582 -0.093144
-0.046507 0.374156 -0.086539
-0.041499 0.375598 -0.079914
-0.036464 0.376908 -0.073271
-0.031406 0.378085 -0.066612
-0.026326 0.379128 -0.059937
-0.021228 0.380037 -0.053249
-0.016115 0.380812 -0.046549
-0.010989 0.381451 -0.039838
-0.005853 0.381955 -0.033117
-0.000709 0.382324 -0.026389
0.004439 0.382558 -0.019654
0.009589 0.382655 -0.012913
0.014737 0.382617 -0.006169
0.019881 0.382443 0.000577
0.025019 0.382134 0.007324
0.030147 0.381689 0.014071
0.035263 0.381108 0.020816
0.040363 0.380393 0.027557
0.045446 0.379543 0.034294
0.050508 0.378558 0.041025
0.055546 0.377440 0.047747
0.060559 0.376188 0.054461
