velocity(x) velocity(y) velocity(z)
543.753696 -360.050563 3105.068979
580.099255 -369.376444 3094.694404
616.208317 -379.171590 3083.662045
652.068325 -389.430909 3071.974356
687.666843 -400.149053 3059.633929
722.991558 -411.320422 3046.643495
758.030288 -422.939164 3033.005924
792.770985 -434.999181 3018.724221
827.201744 -447.494130 3003.801528
861.310805 -460.417425 2988.241121
895.086561 -473.762245 2972.046411
928.517560 -487.521533 2955.220945
961.592514 -501.687998 2937.768400
994.300301 -516.254127 2919.692586
1026.629974 -531.212177 2900.997444
1058.570760 -546.554190 2881.687046
1090.112069 -562.271987 2861.765593
1121.243500 -578.357182 2841.237413
1151.954840 -594.801176 2820.106963
1182.236076 -611.595169 2798.378826
1212.077392 -628.730159 2776.057708
1241.469180 -646.196953 2753.148443
1270.402039 -663.986162 2729.655986
1298.866783 -682.088215 2705.585412
1326.854443 -700.493357 2680.941920
1354.356272 -719.191658 2655.730827
1381.363747 -738.173014 2629.957570
1407.868577 -757.427157 2603.627700
1433.862700 -776.943655 2576.746887
1459.338293 -796.711920 2549.320915
1484.287773 -816.721211 2521.355680
1508.703799 -836.960643 2492.857192
1532.579276 -857.419187 2463.831571
1555.907360 -878.085680 2434.285045
1578.681457 -898.948829 2404.223953
1600.895230 -919.997214 2373.654739
1622.542600 -941.219297 2342.583951
1643.617747 -962.603428 2311.018243
1664.115116 -984.137845 2278.964371
1684.029415 -1005.810687 2246.429190
1703.355621 -1027.609994 2213.419658
1722.088980 -1049.523718 2179.942827
1740.225011 -1071.539723 2146.005848
1757.759503 -1093.645796 2111.615965
1774.688524 -1115.829650 2076.780518
1791.008417 -1138.078930 2041.506935
1806.715802 -1160.381221 2005.802737
1821.807580 -1182.724053 1969.675533
1836.280932 -1205.094906 1933.133018
1850.133321 -1227.481216 1896.182971
1863.362492 -1249.870384 1858.833259
1875.966475 -1272.249778 1821.091826
1887.943580 -1294.606744 1782.966698
1899.292407 -1316.928605 1744.465981
1910.011836 -1339.202676 1705.597856
1920.101035 -1361.416263 1666.370579
1929.559456 -1383.556671 1626.792480
1938.386837 -1405.611212 1586.871961
1946.583200 -1427.567211 1546.617491
1954.148854 -1449.412009 1506.037611
1961.084389 -1471.132973 1465.140926
1967.390682 -1492.717498 1423.936104
1973.068890 -1514.153019 1382.431879
1978.120456 -1535.427009 1340.637043
1982.547100 -1556.526992 1298.560447
1986.350827 -1577.440548 1256.211001
1989.533916 -1598.155316 1213.597668
1992.098928 -1618.658999 1170.729465
1994.048697 -1638.939378 1127.615462
1995.386335 -1658.984307 1084.264776
1996.115222 -1678.781728 1040.686573
1996.239014 -1698.319671 996.890065
1995.761633 -1717.586263 952.884507
1994.687270 -1736.569733 908.679197
1993.020377 -1755.258415 864.283472
1990.765673 -1773.640758 819.706707
1987.928133 -1791.705331 774.958314
1984.512991 -1809.440823 730.047739
1980.525736 -1826.836056 684.984459
1975.972108 -1843.879985 639.777983
1970.858096 -1860.561708 594.437848
1965.189933 -1876.870465 548.973617
1958.974096 -1892.795651 503.394876
1952.217302 -1908.326812 457.711237
1944.926503 -1923.453661 411.932328
1937.108881 -1938.166072 366.067800
1928.771851 -1952.454092 320.127317
1919.923050 -1966.307946 274.120559
1910.570335 -1979.718036 228.057219
1900.721784 -1992.674951 181.946999
1890.385684 -2005.169471 135.799612
1879.570535 -2017.192569 89.624776
1868.285037 -2028.735416 43.432213
1856.538096 -2039.789389 -2.768351
1844.338809 -2050.346070 -48.967190
1831.696467 -2060.397254 -95.154579
1818.620548 -2069.934949 -141.320796
1805.120712 -2078.951386 -187.456125
1791.206796 -2087.439018 -233.550858
1776.888809 -2095.390523 -279.595294
1762.176930 -2102.798812 -325.579744
1747.081499 -2109.657030 -371.494535
1731.613014 -2115.958558 -417.330004
1715.782125 -2121.697020 -463.076509
1699.599631 -2126.866282 -508.724427
1683.076470 -2131.460459 -554.264154
1666.223721 -2135.473915 -599.686109
1649.052589 -2138.901266 -644.980739
1631.574410 -2141.737386 -690.138515
1613.800636 -2143.977405 -735.149937
1595.742837 -2145.616714 -780.005537
1577.412689 -2146.650969 -824.695878
1558.821974 -2147.076089 -869.211560
1539.982570 -2146.888261 -913.543218
1520.906447 -2146.083943 -957.681524
1501.605662 -2144.659862 -1001.617193
1482.092352 -2142.613019 -1045.340982
1462.378727 -2139.940689 -1088.843688
1442.477067 -2136.640425 -1132.116160
1422.399713 -2132.710055 -1175.149291
1402.159064 -2128.147688 -1217.934023
1381.767568 -2122.951710 -1260.461352
1361.237717 -2117.120790 -1302.722327
1340.582044 -2110.653878 -1344.708050
1319.813111 -2103.550206 -1386.409682
1298.943508 -2095.809289 -1427.818442
1277.985846 -2087.430925 -1468.925610
1256.952748 -2078.415197 -1509.722528
1235.856846 -2068.762468 -1550.200603
1214.710773 -2058.473391 -1590.351305
1193.527159 -2047.548896 -1630.166175
1172.318622 -2035.990202 -1669.636822
1151.097764 -2023.798808 -1708.754925
1129.877166 -2010.976497 -1747.512239
1108.669378 -1997.525334 -1785.900589
1087.486917 -1983.447665 -1823.911879
1066.342257 -1968.746115 -1861.538091
1045.247827 -1953.423592 -1898.771286
1024.216003 -1937.483280 -1935.603604
1003.259102 -1920.928640 -1972.027271
982.389376 -1903.763408 -2008.034595
961.619006 -1885.991598 -2043.617970
940.960098 -1867.617491 -2078.769880
920.424672 -1848.645643 -2113.482895
900.024664 -1829.080876 -2147.749676
879.771914 -1808.928281 -2181.562978
859.678162 -1788.193213 -2214.915648
839.755043 -1766.881288 -2247.800628
820.014081 -1744.998383 -2280.210957
800.466683 -1722.550632 -2312.139773
781.124135 -1699.544425 -2343.580311
761.997593 -1675.986402 -2374.525909
743.098083 -1651.883454 -2404.970007
724.436490 -1627.242717 -2434.906146
706.023558 -1602.071569 -2464.327976
687.869880 -1576.377632 -2493.229251
669.985895 -1550.168758 -2521.603832
652.381885 -1523.453038 -2549.445691
635.067967 -1496.238789 -2576.748908
618.054088 -1468.534554 -2603.507677
601.350023 -1440.349099 -2629.716302
584.965366 -1411.691407 -2655.369202
568.909532 -1382.570677 -2680.460912
553.191744 -1352.996315 -2704.986082
537.821035 -1322.977935 -2728.939479
522.806242 -1292.525353 -2752.315991
508.155998 -1261.648580 -2775.110623
493.878735 -1230.357820 -2797.318503
479.982673 -1198.663468 -2818.934877
466.475819 -1166.576099 -2839.955119
453.365963 -1134.106468 -2860.374722
440.660676 -1101.265503 -2880.189307
428.367301 -1068.064304 -2899.394619
416.492955 -1034.514131 -2917.986531
405.044524 -1000.626405 -2935.961042
394.028655 -966.412701 -2953.314282
383.451761 -931.884742 -2970.042507
373.320011 -897.054393 -2986.142107
363.639330 -861.933660 -3001.609599
354.415395 -826.534677 -3016.441635
345.653634 -790.869709 -3030.634999
337.359221 -754.951141 -3044.186606
329.537074 -718.791473 -3057.093507
322.191854 -682.403316 -3069.352888
315.327961 -645.799385 -3080.962070
308.949533 -608.992494 -3091.918509
303.060442 -571.995548 -3102.219798
297.664296 -534.821543 -3111.863669
292.764432 -497.483552 -3120.847988
288.363919 -459.994724 -3129.170762
284.465552 -422.368278 -3136.830137
281.071855 -384.617497 -3143.824397
278.185078 -346.755717 -3150.151964
275.807193 -308.796329 -3155.811405
273.939898 -270.752768 -3160.801421
272.584612 -232.638505 -3165.120860
271.742476 -194.467047 -3168.768706
271.414352 -156.251925 -3171.744087
271.600824 -118.006690 -3174.046273
272.302194 -79.744910 -3175.674674
273.518486 -41.480156 -3176.628843
275.249443 -3.226004 -3176.908477
277.494527 35.003975 -3176.513413
280.252923 73.196224 -3175.443631
283.523532 111.337198 -3173.699254
287.304981 149.413381 -3171.280548
291.595614 187.411282 -3168.187922
296.393499 225.317449 -3164.421926
301.696428 263.118469 -3159.983255
307.501915 300.800981 -3154.872745
313.807201 338.351674 -3149.091376
320.609251 375.757301 -3142.640269
327.904759 413.004679 -3135.520687
335.690149 450.080698 -3127.734037
343.961575 486.972328 -3119.281867
352.714922 523.666622 -3110.165867
361.945814 560.150724 -3100.387867
371.649606 596.411875 -3089.949840
381.821395 632.437417 -3078.853898
392.456019 668.214803 -3067.102295
403.548059 703.731595 -3054.697425
415.091841 738.975480 -3041.641820
427.081441 773.934267 -3027.938153
439.510685 808.595897 -3013.589235
452.373155 842.948448 -2998.598014
465.662188 876.980138 -2982.967578
479.370885 910.679335 -2966.701150
493.492107 944.034558 -2949.802091
508.018485 977.034485 -2932.273897
522.942418 1009.667957 -2914.120200
538.256083 1041.923984 -2895.344764
553.951431 1073.791748 -2875.951491
570.020198 1105.260611 -2855.944412
586.453903 1136.320118 -2835.327692
603.243857 1166.960001 -2814.105629
620.381164 1197.170188 -2792.282649
637.856727 1226.940801 -2769.863308
655.661251 1256.262166 -2746.852293
673.785247 1285.124816 -2723.254417
692.219040 1313.519494 -2699.074621
710.952769 1341.437157 -2674.317971
729.976395 1368.868985 -2648.989658
749.279706 1395.806377 -2623.094998
768.852318 1422.240963 -2596.639430
788.683686 1448.164601 -2569.628513
808.763102 1473.569387 -2542.067929
829.079708 1498.447653 -2513.963477
849.622494 1522.791974 -2485.321075
870.380309 1546.595171 -2456.146761
891.341862 1569.850313 -2426.446684
912.495731 1592.550720 -2396.227113
933.830366 1614.689968 -2365.494424
955.334096 1636.261890 -2334.255112
976.995133 1657.260581 -2302.515777
998.801581 1677.680399 -2270.283131
1020.741439 1697.515965 -2237.563993
1042.802607 1716.762171 -2204.365290
1064.972892 1735.414179 -2170.694052
1087.240015 1753.467424 -2136.557414
1109.591618 1770.917613 -2101.962613
1132.015266 1787.760734 -2066.916985
1154.498455 1803.993049 -2031.427967
1177.028621 1819.611102 -1995.503093
1199.593143 1834.611719 -1959.149993
1222.179348 1848.992008 -1922.376389
1244.774521 1862.749361 -1885.190100
1267.365909 1875.881455 -1847.599031
1289.940726 1888.386253 -1809.611181
1312.486162 1900.262006 -1771.234633
