velocity(x) velocity(y) velocity(z)
-598.162223 1434.025486 -2635.315757
-581.840207 1405.271180 -2660.847656
-565.848902 1376.055765 -2685.817198
-550.197493 1346.388690 -2710.219056
-534.894973 1316.279611 -2734.048026
-519.950138 1285.738383 -2757.299019
-505.371583 1254.775058 -2779.967068
-491.167693 1223.399880 -2802.047324
-477.346648 1191.623280 -2823.535064
-463.916410 1159.455870 -2844.425685
-450.884727 1126.908442 -2864.714709
-438.259120 1093.991959 -2884.397783
-426.046890 1060.717554 -2903.470681
-414.255106 1027.096521 -2921.929302
-402.890604 993.140312 -2939.769673
-391.959987 958.860533 -2956.987952
-381.469616 924.268936 -2973.580423
-371.425611 889.377417 -2989.543505
-361.833849 854.198006 -3004.873742
-352.699954 818.742867 -3019.567817
-344.029303 783.024289 -3033.622539
-335.827019 747.054680 -3047.034856
-328.097968 710.846564 -3059.801846
-320.846758 674.412574 -3071.920725
-314.077735 637.765445 -3083.388843
-307.794983 600.918011 -3094.203685
-302.002323 563.883197 -3104.362875
-296.703305 526.674012 -3113.864172
-291.901212 489.303548 -3122.705475
-287.599059 451.784968 -3130.884821
-283.799586 414.131504 -3138.400383
-280.505260 376.356451 -3145.250477
-277.718275 338.473157 -3151.433557
-275.440548 300.495022 -3156.948216
-273.673719 262.435489 -3161.793190
-272.419151 224.308037 -3165.967355
-271.677930 186.126178 -3169.469726
-271.450859 147.903449 -3172.299463
-271.738466 109.653404 -3174.455864
-272.540997 71.389611 -3175.938372
-273.858417 33.125646 -3176.746570
-275.690414 -5.124919 -3176.880186
-278.036392 -43.348514 -3176.339087
-280.895478 -81.531583 -3175.123285
-284.266519 -119.660588 -3173.232933
-288.148083 -157.722016 -3170.668329
-292.538459 -195.702385 -3167.429911
-297.435658 -233.588249 -3163.518263
-302.837414 -271.366206 -3158.934107
-308.741188 -309.022904 -3153.678313
-315.144163 -346.545045 -3147.751890
-322.043249 -383.919394 -3141.155991
-329.435086 -421.132783 -3133.891909
-337.316042 -458.172118 -3125.961083
-345.682216 -495.024385 -3117.365090
-354.529441 -531.676654 -3108.105650
-363.853284 -568.116091 -3098.184626
-373.649049 -604.329954 -3087.604020
-383.911780 -640.305610 -3076.365976
-394.636263 -676.030531 -3064.472777
-405.817025 -711.492306 -3051.926846
-417.448342 -746.678646 -3038.730748
-429.524240 -781.577386 -3024.887183
-442.038494 -816.176495 -3010.398995
-454.984636 -850.464079 -2995.269160
-468.355955 -884.428386 -2979.500796
-482.145503 -918.057814 -2963.097156
-496.346094 -951.340915 -2946.061630
-510.950312 -984.266400 -2928.397744
-525.950509 -1016.823143 -2910.109158
-541.338817 -1049.000188 -2891.199666
-557.107144 -1080.786756 -2871.673198
-573.247179 -1112.172244 -2851.533815
-589.750400 -1143.146235 -2830.785710
-606.608076 -1173.698501 -2809.433209
-623.811269 -1203.819009 -2787.480765
-641.350841 -1233.497923 -2764.932965
-659.217458 -1262.725610 -2741.794521
-677.401594 -1291.492645 -2718.070275
-695.893533 -1319.789816 -2693.765194
-714.683380 -1347.608125 -2668.884373
-733.761060 -1374.938795 -2643.433029
-753.116324 -1401.773273 -2617.416504
-772.738757 -1428.103234 -2590.840265
-792.617780 -1453.920587 -2563.709896
-812.742653 -1479.217473 -2536.031104
-833.102488 -1503.986274 -2507.809716
-853.686246 -1528.219617 -2479.051675
-874.482746 -1551.910371 -2449.763042
-895.480671 -1575.051656 -2419.949995
-916.668572 -1597.636847 -2389.618822
-938.034875 -1619.659569 -2358.775930
-959.567884 -1641.113711 -2327.427832
-981.255789 -1661.993419 -2295.581155
-1003.086673 -1682.293105 -2263.242634
-1025.048513 -1702.007447 -2230.419111
-1047.129190 -1721.131390 -2197.117536
-1069.316494 -1739.660153 -2163.344962
-1091.598130 -1757.589226 -2129.108545
-1113.961723 -1774.914373 -2094.415544
-1136.394823 -1791.631637 -2059.273318
-1158.884916 -1807.737340 -2023.689324
-1181.419423 -1823.228082 -1987.671118
-1203.985714 -1838.100746 -1951.226348
-1226.571107 -1852.352498 -1914.362760
-1249.162877 -1865.980789 -1877.088189
-1271.748267 -1878.983355 -1839.410563
-1294.314484 -1891.358216 -1801.337897
-1316.848714 -1903.103683 -1762.878294
